suposicion_actual,bombas,misiles,numero_objetivo,ajuste_necesario
139,2,0,120,-19
675,0,2,469,-206
108,0,1,245,137
290,0,2,464,174
904,0,1,780,-124
740,0,2,555,-185
135,0,4,718,583
138,0,6,949,811
882,0,2,684,-198
816,0,5,127,-689
70,0,5,692,622
490,0,1,344,-146
879,0,1,767,-112
854,0,5,117,-737
382,0,2,661,279
662,0,3,245,-417
660,0,4,152,-508
538,0,2,246,-292
968,0,3,583,-385
237,0,3,567,330
42,0,2,238,196
86,0,2,385,299
875,0,6,103,-772
19,0,7,920,901
246,0,4,737,491
681,0,2,886,205
348,0,4,848,500
945,0,7,0,-945
354,0,3,688,334
223,0,5,970,747
105,0,2,261,156
121,1,0,181,60
466,0,2,734,268
342,0,4,836,494
704,0,3,363,-341
626,0,2,819,193
789,0,1,915,126
531,1,0,624,93
717,0,3,325,-392
155,0,5,821,666
640,0,4,111,-529
79,0,3,499,420
645,0,3,244,-401
916,2,0,938,22
868,0,2,706,-162
922,0,1,801,-121
263,1,0,340,77
316,0,3,750,434
959,0,6,179,-780
927,0,1,793,-134
184,0,3,545,361
811,0,2,655,-156
743,0,2,593,-150
291,0,2,497,206
665,0,3,336,-329
820,0,2,566,-254
635,1,0,725,90
312,0,4,779,467
310,0,4,875,565
3,0,2,246,243
730,2,0,777,47
439,0,2,250,-189
569,0,2,768,199
848,0,1,706,-142
481,0,3,147,-334
470,0,2,765,295
797,0,5,194,-603
121,2,0,166,45
351,2,0,393,42
905,1,0,840,-65
752,0,5,53,-699
683,0,5,73,-610
484,0,3,103,-381
122,0,3,570,448
45,0,6,924,879
632,0,2,416,-216
478,0,3,792,314
935,0,3,601,-334
428,0,2,178,-250
231,0,2,440,209
254,0,3,634,380
579,0,4,17,-562
364,0,2,145,-219
696,0,2,498,-198
537,0,2,338,-199
722,0,2,927,205
280,0,1,144,-136
482,0,3,38,-444
549,0,2,361,-188
73,0,6,963,890
124,0,3,559,435
200,0,3,557,357
619,0,4,22,-597
590,0,4,63,-527
172,0,2,402,230
207,0,1,335,128
368,0,2,533,165
650,0,3,269,-381
768,0,5,90,-678
285,0,4,821,536
86,0,5,772,686
448,0,2,193,-255
620,0,2,812,192
576,0,1,704,128
492,0,2,752,260
522,0,2,260,-262
87,0,5,727,640
604,0,3,257,-347
556,1,0,466,-90
766,1,0,674,-92
667,0,2,829,162
476,0,1,368,-108
728,0,3,415,-313
244,0,1,107,-137
645,0,2,429,-216
987,0,7,14,-973
648,0,4,182,-466
589,1,0,640,51
48,1,0,135,87
602,1,0,674,72
258,2,0,232,-26
579,0,2,759,180
617,0,2,768,151
445,1,0,370,-75
302,0,4,829,527
603,0,3,982,379
641,0,3,329,-312
110,1,0,207,97
97,0,6,919,822
166,0,4,650,484
301,2,0,333,32
436,0,1,333,-103
881,2,0,918,37
845,0,5,157,-688
603,0,1,485,-118
122,0,5,799,677
317,0,2,536,219
659,2,0,621,-38
877,0,4,356,-521
714,3,0,707,-7
872,1,0,961,89
354,0,1,494,140
28,1,0,78,50
238,0,3,647,409
556,1,0,483,-73
108,2,0,85,-23
705,2,0,753,48
220,1,0,147,-73
665,0,2,382,-283
110,0,3,450,340
568,0,2,781,213
563,0,4,62,-501
327,0,3,746,419
341,0,2,598,257
976,0,7,1,-975
690,0,1,801,111
41,0,4,595,554
766,0,2,531,-235
597,0,3,995,398
555,0,3,901,346
461,1,0,364,-97
255,0,4,760,505
737,0,2,942,205
637,0,2,790,153
220,0,5,940,720
131,0,3,564,433
103,0,6,949,846
379,0,2,180,-199
